Marker,Clinical_Variable,N,Beta_clinical_adj_age,Beta_ci95_low,Beta_ci95_high,P_clinical_adj_age,Shapiro_resid_p,BreuschPagan_p,Max_CooksD,Frac_CooksD_gt_4_over_n,Max_VIF_nonconst,Age_quad_delta_AIC,Clinical_quad_delta_AIC,Assumption_flag,Inference_tier,P_q_fdr
abd_mir155,pocket_depth,108,0.5155215694118146,0.37014351849770744,0.6608996203259218,2.1491763798734885e-10,0.8211076330847118,0.6167238662130294,0.1045759566008198,0.027777777777777776,1.5596347619716664,-1.6221809026213236,0.9787513218570894,pass,tentative_adjusted,9.210755913743522e-10
abd_mir155,bleeding_on_probing,108,0.01946757177131348,0.014863252885130736,0.024071890657496226,2.5051649850063555e-13,0.24145404695921036,0.6884249611328149,0.060859101408522374,0.027777777777777776,1.4449235289909472,-1.9935954697232319,2.257887046078025,pass,tentative_adjusted,7.515494955019066e-12
abd_mir155,number_of_missing_teeth,108,0.00581279701199057,-0.13154773021519078,0.14317332423917195,0.933289024708955,0.7522561829586583,0.43151614482004363,0.07309539080504608,0.05555555555555555,1.1161494439698547,-1.2973092574675604,-0.7040496959180302,review,exploratory_adjusted,0.933289024708955
abd_mir203,plaque_index,108,0.7810951979888101,0.5721618973452476,0.9900284986323726,3.298651437286886e-11,0.06309740037965997,0.00033152248098248496,0.19958110257335598,0.05555555555555555,1.1624356043702044,0.016528461119094118,1.291463903081734,review,exploratory_adjusted,3.298651437286886e-10
abd_mir203,gingival_index,108,0.8099831108674327,0.5562239644019513,1.063742257332914,6.18603885297678e-09,0.0012033051223650552,0.006345154233426258,0.22092523818692125,0.046296296296296294,1.1583248334472813,0.8751826368315676,2.3378047933994424,review,exploratory_adjusted,1.2274573475526997e-08
abd_mir203,pocket_depth,108,0.6473280744264271,0.47568990326050514,0.8189662455923492,2.385521695005572e-11,1.9074783853462355e-06,0.46077136824885656,0.10824754561670911,0.08333333333333333,1.5596347619716664,-1.5814315536469792,3.8744885368155337,review,exploratory_adjusted,3.298651437286886e-10
abd_mir203,bleeding_on_probing,108,0.020258258976913017,0.014255348625054867,0.026261169328771167,1.1096371257321312e-09,4.323482575536603e-06,0.29914794064096967,0.14145866388867434,0.037037037037037035,1.4449235289909472,0.19242996433723647,7.8779609275773055,review,exploratory_adjusted,2.8290516791734186e-09
abd_mir203,number_of_missing_teeth,108,-0.031128771653045284,-0.19656669664375,0.13430915333765944,0.7098364229977432,2.9056780611876226e-05,0.07348872239584553,0.0651532094234847,0.09259259259259259,1.1161494439698547,1.649560239684888,0.3120061288355487,review,exploratory_adjusted,0.788707136664159
abd_mir223,plaque_index,108,0.8238819584241968,0.5923853289767683,1.0553785878716253,1.8979377178523383e-10,0.2639461253766606,3.467550923010674e-05,0.18114632601445335,0.05555555555555555,1.1624356043702044,-0.4384207998873535,2.118148970326189,review,exploratory_adjusted,9.210755913743522e-10
abd_mir223,gingival_index,108,0.808581562308897,0.5236030382122677,1.0935600864055264,1.5421068199829743e-07,0.01204371963564883,0.007252360356973909,0.2670314160123372,0.05555555555555555,1.1583248334472813,0.3223137798201492,1.0077973795816888,review,exploratory_adjusted,2.0778826328543664e-07
abd_mir223,pocket_depth,108,0.5876948064365144,0.38592659405550167,0.7894630188175271,7.896738728368327e-08,6.538143802001357e-05,0.07956420291330499,0.21276435397245477,0.07407407407407407,1.5596347619716664,-1.5042463601765235,9.71198309232119,review,exploratory_adjusted,1.1281055326240468e-07
abd_mir223,bleeding_on_probing,108,0.020857321256591874,0.014165399607461411,0.02754924290572234,1.2397952615995146e-08,0.00022819724667850173,0.1666373726956382,0.13732338177708361,0.037037037037037035,1.4449235289909472,-0.25518289749516043,0.7151271077142951,review,exploratory_adjusted,2.187873991057967e-08
abd_mir223,number_of_missing_teeth,108,-0.02255051949765953,-0.2029453199431976,0.1578442809478785,0.804723117968755,0.0002950733299389171,0.04193190758000513,0.14771218275823803,0.06481481481481481,1.1161494439698547,1.1092648311469588,-1.1579986461374006,review,exploratory_adjusted,0.8622033406808088
abd_mir381p,plaque_index,108,0.8052243307533301,0.5810712494090782,1.029377412097582,1.37390261508319e-10,0.002558517275417243,0.03411107845054517,0.1922374977089551,0.046296296296296294,1.1624356043702044,1.1258124750329443,2.195972444261031,review,exploratory_adjusted,8.24341569049914e-10
abd_mir381p,gingival_index,108,0.8633125189168096,0.5953803079879065,1.1312447298457127,4.6695155467714115e-09,0.007478719798888298,0.0034197911925475857,0.26813221906118767,0.05555555555555555,1.1583248334472813,2.113659459368364,2.8351383673258113,review,exploratory_adjusted,1.0006104743081595e-08
abd_mir381p,pocket_depth,108,0.5913588067190628,0.39769920385683694,0.7850184095812887,2.2126088996196218e-08,0.00015545046905282415,0.27829296994715935,0.2634938929687588,0.06481481481481481,1.5596347619716664,-0.6471270983075215,6.830265820675692,review,exploratory_adjusted,3.6876814993660366e-08
abd_mir381p,bleeding_on_probing,108,0.020792942059477793,0.014357414410892793,0.027228469708062794,4.2999305496182105e-09,0.0004240733000104363,0.06673493746203808,0.12612873377618114,0.046296296296296294,1.4449235289909472,1.3053409555590747,6.165559435675647,review,exploratory_adjusted,9.922916652965101e-09
abd_mir381p,number_of_missing_teeth,108,0.042601295992740096,-0.1324566438888429,0.2176592358743231,0.6304347734596787,0.0017959546240461483,0.20502164531395858,0.1438701580014937,0.08333333333333333,1.1161494439698547,2.8234851740263025,-0.23977500308973276,review,exploratory_adjusted,0.7274247386073215
